num_bins,short_window_size,discount,base_rate,eta,tau_ok,simulation_seed,cache_file,warmup_steps,nominal_sample_count,fault_sample_count,nominal_consistent_rate,nominal_undecided_rate,nominal_false_inconsistent_rate,fault_false_consistent_rate,fault_undecided_rate,fault_inconsistent_rate,decision_coverage,selective_accuracy,selective_risk,balanced_three_state_accuracy,q_inconsistent_roc_auc,q_inconsistent_average_precision,mean_q_inconsistent_nominal,mean_q_inconsistent_fault,q_inconsistent_mean_separation,region_transition_count,region_transitions_per_1000_steps,mean_region_dwell_steps,initial_consistent_delay_steps,mean_position_error_nominal,mean_position_error_fault,event_detection_rate,mean_detection_delay_steps,median_detection_delay_steps,worst_detection_delay_steps,mean_detection_delay_seconds,mean_recovery_delay_steps,mean_recovery_delay_seconds,undetected_event_count
5,50,0.99,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,50,651,700,0.7219662058371735,0.21505376344086022,0.0629800307219662,0.5771428571428572,0.34285714285714286,0.08,0.7187268689859363,0.5417095777548918,0.4582904222451082,0.40098310291858674,0.6130787798990563,0.5959782000360337,0.13023364719617195,0.20739208468832263,0.07715843749215068,26,19.24500370096225,50.03703703703704,50.0,0.5585900987878052,1.0476660479574822,0.16666666666666666,44.0,44.0,44.0,4.4,29.833333333333332,2.9833333333333334,5
5,50,0.995,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,50,651,700,0.7142857142857143,0.22734254992319508,0.05837173579109063,0.6171428571428571,0.30142857142857143,0.08142857142857143,0.7342709104367136,0.5262096774193549,0.47379032258064513,0.39785714285714285,0.5894821154268158,0.5834170306991341,0.1252780136937833,0.1976127050352924,0.0723346913415091,20,14.803849000740193,64.33333333333333,50.0,0.5585900987878052,1.0476660479574822,0.16666666666666666,43.0,43.0,43.0,4.3,30.666666666666668,3.066666666666667,5
5,70,0.95,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,70,631,700,0.6624405705229794,0.2630744849445325,0.07448494453248812,0.6371428571428571,0.30142857142857143,0.06142857142857143,0.7167543200601052,0.4832285115303983,0.5167714884696017,0.3619345709757754,0.5642268508037129,0.5551702643061469,0.15606598365440447,0.1770712257985746,0.021005242144170128,18,13.5236664162284,70.05263157894737,70.0,0.56000912072257,1.0476660479574822,0.16666666666666666,57.0,57.0,57.0,5.7,35.666666666666664,3.5666666666666664,5
5,70,0.98,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,70,631,700,0.6576862123613312,0.26148969889064977,0.08082408874801902,0.6642857142857143,0.2742857142857143,0.06142857142857143,0.7317806160781367,0.4702258726899384,0.5297741273100616,0.3595573918949513,0.5429703418609916,0.5378827078482707,0.15635181076847482,0.154367876805899,-0.001983933962575818,18,13.5236664162284,70.05263157894737,70.0,0.56000912072257,1.0476660479574822,0.16666666666666666,57.0,57.0,57.0,5.7,35.833333333333336,3.583333333333334,5
5,70,0.99,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,70,631,700,0.6561014263074485,0.26782884310618066,0.07606973058637084,0.6871428571428572,0.24857142857142858,0.06428571428571428,0.7422990232907588,0.4645748987854251,0.5354251012145749,0.3601935702965814,0.522383971021055,0.526675569626977,0.15315929233545877,0.14755397284243157,-0.0056053194930272,28,21.036814425244177,45.89655172413793,70.0,0.56000912072257,1.0476660479574822,0.16666666666666666,55.0,55.0,55.0,5.5,35.666666666666664,3.5666666666666664,5
5,70,0.995,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,70,631,700,0.659270998415214,0.2630744849445325,0.07765451664025357,0.7271428571428571,0.21,0.06285714285714286,0.7648384673178061,0.4518664047151277,0.5481335952848723,0.3610640706361784,0.4975481095766357,0.5149712943242641,0.14671556096359778,0.13920115720099563,-0.007514403762602151,30,22.53944402704733,42.935483870967744,70.0,0.56000912072257,1.0476660479574822,0.16666666666666666,56.0,56.0,56.0,5.6000000000000005,35.333333333333336,3.5333333333333337,5
7,35,0.95,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,35,666,700,0.44594594594594594,0.506006006006006,0.04804804804804805,0.24285714285714285,0.6671428571428571,0.09,0.41142020497803805,0.6405693950177936,0.35943060498220636,0.26797297297297296,0.6971428571428572,0.6775648121051872,0.15125943941481224,0.3482890781307612,0.19702963871594897,46,33.674963396778914,29.06382978723404,35.0,0.5599826822119577,1.0476660479574822,0.16666666666666666,37.0,37.0,37.0,3.7,39.666666666666664,3.966666666666667,5
7,35,0.98,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,35,666,700,0.5330330330330331,0.4174174174174174,0.04954954954954955,0.31857142857142856,0.5928571428571429,0.08857142857142856,0.49267935578330896,0.6196136701337296,0.3803863298662704,0.3108022308022308,0.6714199914199914,0.6576635034432924,0.13976864443729667,0.3126879941762171,0.17291934973892045,32,23.42606149341142,41.39393939393939,35.0,0.5599826822119577,1.0476660479574822,0.16666666666666666,38.0,38.0,38.0,3.8000000000000003,41.166666666666664,4.116666666666666,5
7,35,0.99,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,35,666,700,0.581081081081081,0.36936936936936937,0.04954954954954955,0.3914285714285714,0.52,0.08857142857142856,0.5534407027818448,0.593915343915344,0.40608465608465605,0.3348262548262548,0.6436894036894036,0.6369555437342551,0.13125353449517302,0.2811873793547849,0.14993384485961186,28,20.497803806734993,47.10344827586207,35.0,0.5599826822119577,1.0476660479574822,0.16666666666666666,38.0,38.0,38.0,3.8000000000000003,40.833333333333336,4.083333333333334,5
7,35,0.995,0.5,0.95,0.5,0,kf_sa_seed_0000.npz,35,666,700,0.6306306306306306,0.31981981981981983,0.04954954954954955,0.43142857142857144,0.48,0.08857142857142856,0.5980966325036603,0.5899632802937577,0.41003671970624234,0.3596010296010296,0.6090647790647791,0.616022791578862,0.12504856097476427,0.25391195781994524,0.12886339684518097,30,21.961932650073205,44.064516129032256,35.0,0.5599826822119577,1.0476660479574822,0.16666666666666666,38.0,38.0,38.0,3.8000000000000003,39.833333333333336,3.983333333333334,5
