scenario,interval,channel_type,channel_id,metric,n_runs,mean,std,sem,ci95_low,ci95_high,min,max
nominal,nominal,C_common_ABF,overall,d_norm,100,0.1804547022798214,0.004405422397274717,0.00044054223972747164,0.17959123948995556,0.18131816506968726,0.16947026281241692,0.19229219651407126
nominal,nominal,C_common_ABF,overall,p_ok,100,0.7910106320069228,0.00400036530022337,0.000400036530022337,0.790226560408079,0.7917947036057665,0.7803056282260624,0.8009192598167626
nominal,nominal,C_common_ABF,overall,selected_score,100,0.8195452977201785,0.004405422397274721,0.00044054223972747207,0.8186818349303127,0.8204087605100443,0.8077078034859287,0.830529737187583
nominal,nominal,C_common_ABF,overall,u,100,0.0893231407532933,0.0006031776088850621,6.031776088850621e-05,0.08920491794195183,0.08944136356463477,0.08817566892853945,0.091111516616065
nominal,nominal,C_iso,S1,b,100,0.7469240201965758,0.006060483476390591,0.0006060483476390591,0.7457361654352033,0.7481118749579483,0.7333002484596705,0.760049501586839
nominal,nominal,C_iso,S1,b_norm,100,0.8203071725480168,0.0065635183705102,0.00065635183705102,0.8190207229473968,0.8215936221486367,0.8066501045693855,0.8352734465589905
nominal,nominal,C_iso,S1,d,100,0.1636002933263191,0.005955260731969887,0.0005955260731969887,0.162433062222853,0.16476752442978518,0.1498136021902284,0.17595520715301996
nominal,nominal,C_iso,S1,d_norm,100,0.17969282745198345,0.006563518370510193,0.0006563518370510193,0.17840637785136346,0.18097927705260344,0.16472655344100945,0.19334989543061445
nominal,nominal,C_iso,S1,p_ok,100,0.7916618634351285,0.00598892146935531,0.000598892146935531,0.7904880348271348,0.7928356920431221,0.778747785328041,0.8050491619332044
nominal,nominal,C_iso,S1,selected_score,100,0.8203071725480168,0.0065635183705102,0.00065635183705102,0.8190207229473968,0.8215936221486367,0.8066501045693855,0.8352734465589905
nominal,nominal,C_iso,S1,u,100,0.08947568647710497,0.0009594056713778595,9.594056713778596e-05,0.0892876429655149,0.08966372998869503,0.08795209598422157,0.09329428219141618
nominal,nominal,C_iso,S2,b,100,0.7471754147111662,0.005607265971988155,0.0005607265971988155,0.7460763905806566,0.7482744388416759,0.7322807226227088,0.7588437271646872
nominal,nominal,C_iso,S2,b_norm,100,0.820433456765718,0.006124112096604969,0.0006124112096604969,0.8192331307947834,0.8216337827366526,0.8040355085222551,0.8326191311232373
nominal,nominal,C_iso,S2,d,100,0.16351535649098256,0.005577422126292319,0.0005577422126292319,0.16242218175422926,0.16460853122773586,0.15256401592704255,0.17841103698655159
nominal,nominal,C_iso,S2,d_norm,100,0.17956654323428187,0.006124112096604966,0.0006124112096604966,0.17836621726334728,0.18076686920521645,0.16738086887676276,0.19596449147774486
nominal,nominal,C_iso,S2,p_ok,100,0.7918300291100914,0.005573112290735603,0.0005573112290735603,0.7907376991011071,0.7929223591190756,0.7769348428180786,0.8031398556188224
nominal,nominal,C_iso,S2,selected_score,100,0.820433456765718,0.006124112096604969,0.0006124112096604969,0.8192331307947834,0.8216337827366526,0.8040355085222551,0.8326191311232373
