k,p_ok_griebel_innovation_mean,p_ok_radial_mean,p_ok_x_mean,p_ok_y_mean,p_ok_overall_mean,u_griebel_innovation_mean,u_radial_mean,u_x_mean,u_y_mean,u_overall_mean,griebel_multinomial_dc_mean,griebel_multinomial_uncertainty_mean,griebel_multinomial_threshold_mean,dc_josang_history_mean,dc_norm_history_mean,nis_score_mean,nis_lower_band_mean,nis_upper_band_mean,rmse_mean
236,0.943513513513514,0.7865551293077873,0.8157783800435082,0.8212715705571256,0.7277700480064695,0.0540540540540561,0.117594323539748,0.1140431143644629,0.1165475580206665,0.1143614132354105,0.1089276280971422,0.1089167783225525,0.2126812420094322,0.1169236222106222,0.1546477089223385,2.0524024384601667,1.236433701309239,2.9775685365661952,0.5169912604374913
237,0.9443243243243248,0.7890224658238411,0.8165396822610174,0.8215761015068989,0.7297029371719407,0.0540540540540561,0.1168510422071092,0.1141359929924855,0.1164764336187242,0.114080454827216,0.1074179779259852,0.109302708414858,0.2129624323963133,0.1154627005889623,0.152552013072604,2.051093698734677,1.236433701309239,2.9775685365661952,0.5153673007654936
238,0.945945945945946,0.7907197229552436,0.8173935929384865,0.8218303216564419,0.7309661012090009,0.0540540540540561,0.1165293956066483,0.1142222897889617,0.1169711766265917,0.1142135887078479,0.1054018548422329,0.1090973758143191,0.2128204146118194,0.1143353208045544,0.1510155792414322,2.0412197702031416,1.236433701309239,2.9775685365661952,0.5046951784610758
239,0.9462162162162164,0.7922991553738895,0.8181788078822294,0.8242866736054266,0.7328697470254987,0.0540540540540561,0.1164540455985934,0.1137032657541107,0.1162706330791101,0.1139727538016591,0.1045133477732772,0.1094615544447435,0.2131072877293237,0.1131416015486742,0.1494738218268138,2.0380869643580044,1.236433701309239,2.9775685365661952,0.4905082601059674
240,0.9456756756756758,0.794172539908601,0.8196287737458375,0.8255022452894211,0.7345538019711967,0.0540540540540561,0.1169830077545651,0.113217577339104,0.1156141007453429,0.1139697822036893,0.1022281860902206,0.1092352073371582,0.2129481017689923,0.111456693873109,0.1473359562141167,2.0227874680287248,1.236433701309239,2.9775685365661952,0.5175729122052163
241,0.9456756756756758,0.7960682727805309,0.8209685437346422,0.8258745056907344,0.7363919583020982,0.0540540540540561,0.1162773968607649,0.113363414468547,0.1155993132304116,0.1138205609558584,0.1007178788013279,0.1090177984977138,0.212771131037687,0.1103606239761836,0.1457930287890868,2.0301139492258438,1.236433701309239,2.9775685365661952,0.5240577689644135
242,0.9454054054054056,0.7979036398845435,0.8218909132660294,0.8223873681184972,0.7362408072278945,0.0540540540540561,0.115616675034336,0.1129001711965452,0.1161852757085219,0.1135400372191668,0.0988173307215875,0.1088088033028148,0.2126408522460385,0.1093128796525844,0.1442880225982885,2.0253435900765764,1.236433701309239,2.9775685365661952,0.4943450648659874
243,0.945675675675676,0.799380987195271,0.8222743869942089,0.8234484364685,0.7375634201744335,0.0540540540540561,0.1155984580036851,0.1130551580260702,0.1155331288062264,0.1134723982304545,0.0988080719390303,0.1091690117830485,0.2128748895507965,0.1081798429120057,0.1428197838028866,2.033332983934546,1.236433701309239,2.9775685365661952,0.5051579473103227
244,0.9462162162162164,0.8001714409737078,0.8225553606995547,0.8251248542799461,0.7388937936935303,0.0540540540540561,0.1149815747643842,0.1132126583301006,0.1149226270989039,0.1132406194802915,0.0981915427598298,0.1089384310185869,0.2127071872482339,0.1079025452866399,0.1423377716440995,2.032564353174295,1.236433701309239,2.9775685365661952,0.5097499169456423
245,0.9467567567567572,0.800741395075205,0.8246430975196677,0.822208540946112,0.7389356561586666,0.0540540540540561,0.1150017288998072,0.1127603045007196,0.11550430431225,0.1132653782697625,0.0969644350159642,0.1087165634300021,0.2125769826732331,0.1074289408991502,0.1417577404748912,2.0285371392962146,1.236433701309239,2.9775685365661952,0.5094478908566673
246,0.9481081081081084,0.8034764822629954,0.8265887448977669,0.8231024960245366,0.7415184318370184,0.0540540540540561,0.1144241169801856,0.1128783727986164,0.1148963054154383,0.1129730148669617,0.095116121389651,0.1085029182513388,0.2124163388804321,0.1056452033912964,0.1393114592469113,2.025930303678066,1.236433701309239,2.9775685365661952,0.5034971773868103
247,0.9472972972972976,0.806274041917882,0.8280601490827063,0.8232427604407608,0.743740929776696,0.0540540540540561,0.1138842570346663,0.1124487037468959,0.1147467089545582,0.1126607527841446,0.0941262849689608,0.1082970413617657,0.2122592740946693,0.1038048431500775,0.1367838295647847,2.0309561047784954,1.236433701309239,2.9775685365661952,0.5262032607688758
248,0.9472972972972976,0.8078315164163021,0.8290958157018083,0.8243284889451193,0.7455917148895261,0.0540540540540561,0.113379978258413,0.1126034375455456,0.1145796529878005,0.1124808212604944,0.0930697895713017,0.1080985118891624,0.2121056655156826,0.1028789401155154,0.1354784944544911,2.0172173832285503,1.236433701309239,2.9775685365661952,0.5175526926273148
249,0.9464864864864868,0.807496823560915,0.8295095743010374,0.8254370076417491,0.7460222270466885,0.0540540540540561,0.1129091958464605,0.1121925743868765,0.1140340346010089,0.112083884194072,0.0941586205871164,0.1079069391880585,0.2119375795469566,0.1033713926718885,0.1360485785158549,2.0145610247883696,1.236433701309239,2.9775685365661952,0.5405442197423774
250,0.9462162162162164,0.809130117188467,0.8301931157601855,0.8263441400283437,0.7476155402435589,0.0540540540540561,0.1124699129036547,0.1118085070189371,0.1141075168248589,0.1118594844870773,0.0934822223280266,0.1077219601443018,0.2118083511236696,0.102340382705766,0.1346349263597054,2.015206052351112,1.236433701309239,2.9775685365661952,0.5250435859977959
251,0.9451351351351356,0.8108702611054366,0.8311281009890883,0.8275353754341996,0.749325054046206,0.0540540540540561,0.1120602214265572,0.1114496975114452,0.1135929691186276,0.1115362705683306,0.0929286458845716,0.1081045105971585,0.2120672877208538,0.101218096699956,0.1330996281812851,2.0085735707839887,1.236433701309239,2.9775685365661952,0.525774617479335
252,0.9448648648648652,0.8112538073051945,0.8313704530946098,0.8281575414988254,0.7500356961863257,0.0540540540540561,0.1122408463816281,0.1111146694269989,0.1137119530498928,0.1115417783200878,0.0923584585221136,0.107894729958873,0.2119031376022132,0.1008007379222399,0.1326257695039914,2.00833332874474,1.236433701309239,2.9775685365661952,0.5145147706221425
253,0.9454054054054056,0.8126960041758288,0.8319158609080478,0.8284165697748189,0.7511172275998415,0.0540540540540561,0.1124488387868803,0.1108020088826245,0.1138237635241235,0.1115669522573814,0.091084224744604,0.1076922403051111,0.2117261737726136,0.0995845583301704,0.1310795764307313,1.996161510860249,1.236433701309239,2.9775685365661952,0.5075754457398245
