k,b_norm_griebel_innovation_mean,b_norm_radial_mean,b_norm_x_mean,b_norm_y_mean,b_norm_comp_mean,b_norm_overall_mean,d_norm_griebel_innovation_mean,d_norm_radial_mean,d_norm_x_mean,d_norm_y_mean,d_norm_comp_mean,d_norm_overall_mean,p_ok_griebel_innovation_mean,p_ok_radial_mean,p_ok_x_mean,p_ok_y_mean,p_ok_comp_mean,p_ok_overall_mean,u_griebel_innovation_mean,u_radial_mean,u_x_mean,u_y_mean,u_comp_mean,u_overall_mean,griebel_multinomial_dc_mean,griebel_multinomial_uncertainty_mean,griebel_multinomial_threshold_mean,dc_josang_history_mean,dc_norm_history_mean,nis_score_mean,nis_lower_band_mean,nis_upper_band_mean,rmse_mean
41,0.9554285714,0.8262495137,0.8291431328,0.8280337779,0.6843355926,0.753164928,0.04457142857,0.1737504863,0.1708568672,0.1719662221,0.3156644074,0.246835072,0.9551351351,0.7793301765,0.8115925634,0.8106427495,0.6580515578,0.7171010237,0.05405405405,0.1438142748,0.1438142748,0.1438142748,0.1402128883,0.1419062206,0.1016813744,0.1428571429,0.238279312,0.10917299,0.1487626861,1.966154881,1.236433701,2.977568537,0.5668801362
42,0.9557142857,0.825848881,0.8316306903,0.8260314031,0.6845466292,0.7531860738,0.04428571429,0.174151119,0.1683693097,0.1739685969,0.3154533708,0.2468139262,0.9554054054,0.7798108627,0.8140371544,0.8092289703,0.6587329534,0.7177613186,0.05405405405,0.1412864091,0.1412864091,0.1412864091,0.1377723612,0.1394322821,0.1005933133,0.14,0.2362560169,0.1100718214,0.1495459328,1.964593796,1.236433701,2.977568537,0.5920371461
43,0.956,0.826985078,0.8315504334,0.8289800173,0.6868947959,0.7550723239,0.044,0.173014922,0.1684495666,0.1710199827,0.3131052041,0.2449276761,0.9556756757,0.7815611615,0.8142630449,0.8120497044,0.6611892996,0.7199664685,0.05405405405,0.1389173988,0.1389173988,0.1389173988,0.1356537303,0.1371984276,0.1004408656,0.137254902,0.2346326521,0.1099578906,0.1489801391,1.969499564,1.236433701,2.977568537,0.5819915671
44,0.9551428571,0.8269927353,0.8330109068,0.8300053553,0.6889537634,0.7562138342,0.04485714286,0.1730072647,0.1669890932,0.1699946447,0.3110462366,0.2437861658,0.9548648649,0.7822931512,0.8157999371,0.8132052415,0.6633704376,0.7214985742,0.05405405405,0.1366990128,0.1366990128,0.1366990128,0.1336510326,0.1350946454,0.1000410922,0.1346153846,0.2326003665,0.1105202924,0.1493573424,1.967429644,1.236433701,2.977568537,0.5537864617
45,0.9557142857,0.8277919524,0.8344559809,0.8313165081,0.6913001352,0.7578843824,0.04428571429,0.1722080476,0.1655440191,0.1686834919,0.3086998648,0.2421156176,0.9554054054,0.7836635477,0.8173118229,0.814594996,0.6657593971,0.7234472889,0.05405405405,0.1346232095,0.1346232095,0.1346232095,0.1318023919,0.1331355211,0.09986153152,0.1320754717,0.2306548431,0.1105394094,0.1490248475,1.954797901,1.236433701,2.977568537,0.5757197382
46,0.956,0.831593944,0.8385428755,0.8329001162,0.6961290592,0.7623585287,0.044,0.168406056,0.1614571245,0.1670998838,0.3038709408,0.2376414713,0.9556756757,0.7875973407,0.8211036496,0.8162095838,0.6702479501,0.7277754246,0.05405405405,0.1326821676,0.1326821676,0.1326821676,0.1302780393,0.1314072275,0.09977179929,0.1296296296,0.2289192804,0.1085844078,0.1460615755,1.956878839,1.236433701,2.977568537,0.5597712069
47,0.956,0.8336669011,0.8407604595,0.8341271717,0.6991352758,0.764962142,0.044,0.1663330989,0.1592395405,0.1658728283,0.3008647242,0.235037858,0.9556756757,0.790000477,0.8232694282,0.8175042276,0.6731652358,0.730480908,0.05405405405,0.1308683121,0.1308683121,0.1308683121,0.1287216016,0.1297234201,0.09880292023,0.1272727273,0.226935586,0.1076968641,0.144565367,1.956542623,1.236433701,2.977568537,0.5636022408
48,0.9557142857,0.8346722384,0.8429287773,0.8355012577,0.7021092683,0.7670724812,0.04428571429,0.1653277616,0.1570712227,0.1644987423,0.2978907317,0.2329275188,0.9554054054,0.7914411752,0.8253840615,0.8189159868,0.6760628884,0.7327393726,0.05405405405,0.1291743332,0.1291743332,0.1291743332,0.1272847039,0.128163262,0.09912099282,0.125,0.2251918659,0.1074636131,0.1439716582,1.965329022,1.236433701,2.977568537,0.5330326428
49,0.9562857143,0.8370058868,0.8417071554,0.8376093506,0.7029321766,0.7687697379,0.04371428571,0.1629941132,0.1582928446,0.1623906494,0.2970678234,0.2312302621,0.9559459459,0.7940062268,0.8245330628,0.8209608868,0.6770612468,0.7346103797,0.05405405405,0.1275932014,0.1275932014,0.127983936,0.1259802994,0.1267206642,0.09732928698,0.1228070175,0.2234692551,0.1063318114,0.1421971725,1.964136546,1.236433701,2.977568537,0.5592727784
50,0.9557142857,0.8392214283,0.8414148338,0.8383169024,0.7033065065,0.7701037116,0.04428571429,0.1607785717,0.1585851662,0.1616830976,0.2966934935,0.2298962884,0.9554054054,0.7964394404,0.8244761471,0.8217752625,0.677697562,0.7361727821,0.05405405405,0.1261181764,0.1261181764,0.1264849016,0.1245410854,0.1252672415,0.09646922321,0.1206896552,0.2218842676,0.1052414417,0.1405014714,1.969517029,1.236433701,2.977568537,0.5877215953
