k,p_ok_griebel_innovation_mean,p_ok_radial_mean,p_ok_x_mean,p_ok_y_mean,p_ok_overall_mean,u_griebel_innovation_mean,u_radial_mean,u_x_mean,u_y_mean,u_overall_mean,griebel_multinomial_dc_mean,griebel_multinomial_uncertainty_mean,griebel_multinomial_threshold_mean,dc_josang_history_mean,dc_norm_history_mean,nis_score_mean,nis_lower_band_mean,nis_upper_band_mean,rmse_mean
453,0.9518918918918922,0.8274002419172585,0.8507048864021547,0.8541797004470826,0.7776526843476459,0.0540540540540561,0.1087919723536027,0.1077022736611685,0.107090803299154,0.1088093303975601,0.0768500696234716,0.1066632819504285,0.2110128548811629,0.0900960026614746,0.1182037719059401,2.011490530419348,1.236433701309239,2.9775685365661952,0.5970458946690091
454,0.951891891891892,0.8244433321022744,0.8503411905220571,0.8539740688030641,0.7759696077186696,0.0540540540540561,0.1092468283731955,0.1076320478360741,0.1070601005272535,0.1089442538145337,0.0772521660796531,0.106663285365165,0.2110128548811629,0.092081291044161,0.1209332537111277,2.0075545214122643,1.236433701309239,2.9775685365661952,0.5588228137852287
455,0.9513513513513516,0.8233405615780256,0.8499338115197661,0.8546157668656051,0.7754679449500785,0.0540540540540561,0.1090722631520728,0.1075661890522066,0.1070315529468013,0.1088727467496531,0.0773207456926328,0.1066632885285953,0.2110128548811629,0.0930374901758436,0.122123306845938,2.0020833011695007,1.236433701309239,2.9775685365661952,0.5499718241256533
456,0.9516216216216218,0.8239737487597242,0.8501192294092945,0.8563440128646806,0.7765592289939289,0.0540540540540561,0.1089085358254665,0.1075044741427547,0.107005016157152,0.1088511585347659,0.0778917533124505,0.1066632914592147,0.2110128548811629,0.0926589560561023,0.1215719833275424,1.996033244843631,1.236433701309239,2.9775685365661952,0.5627201217377878
457,0.9524324324324324,0.8240942687114307,0.8500012151466643,0.8555560004383245,0.7761678470566337,0.0540540540540561,0.1087550967552554,0.1074466852084359,0.1069803544858919,0.1087435456409631,0.0783802196497328,0.1066632941741567,0.2110128548811629,0.0926630134582843,0.1215281829109416,1.9913335123218605,1.236433701309239,2.9775685365661952,0.541334090660007
458,0.952162162162162,0.8249577325993096,0.850414597157727,0.8550785686754179,0.7766425495457845,0.0540540540540561,0.1086114082821528,0.1073926103329669,0.1075564339334891,0.1088047889849137,0.0777351185727173,0.1066632966892942,0.2110128548811629,0.0920810521842827,0.1207365632596142,1.9872059983619117,1.236433701309239,2.9775685365661952,0.5653987601880207
459,0.9535135135135137,0.8237422364599668,0.8507714145807832,0.8547045808661662,0.7759854860289209,0.0540540540540561,0.1090769800991498,0.1073420441672371,0.107496465248596,0.1089469514477786,0.0771229362337006,0.1066632990193324,0.2110128548811629,0.0927344768903966,0.1217192734904579,1.985197575654712,1.236433701309239,2.9775685365661952,0.5561754320177102
460,0.9529729729729732,0.8224113040264136,0.8511170842977357,0.8542758292785444,0.7752271727766268,0.0540540540540561,0.109512510578874,0.1072947883915441,0.1074401819882853,0.1090808114107944,0.0774693141813608,0.106663301177893,0.2110128548811629,0.0934870473586303,0.1228324406841497,1.9903847796615937,1.236433701309239,2.9775685365661952,0.5678845620040259
461,0.953783783783784,0.8220717473820645,0.850330793465064,0.8547799783001309,0.7749185907089416,0.0540540540540561,0.1093196506388871,0.1072506520660082,0.1073873999155613,0.1089781734249571,0.0783959536335411,0.1066633031775962,0.2110128548811629,0.0938578683947539,0.1232684272984917,1.9841371951818887,1.236433701309239,2.9775685365661952,0.5642294629317535
462,0.9535135135135137,0.8228064059033051,0.8523293586223782,0.8558299637494123,0.7765892903877212,0.0540540540540561,0.1091388141442267,0.1072094518796789,0.1073379388859932,0.1089861783635376,0.0774578585588789,0.1066633050301331,0.2110128548811629,0.093405166683739,0.1226241870245815,1.985761690459925,1.236433701309239,2.9775685365661952,0.5465785546061819
